,action,status,group,price,net_anchor_price,end_trade_price,count
0,buy,aborted,0,227380.1732980584,258552.76645442465,0.0,12
1,buy,aborted,1,168424.47187231953,239643.15003213598,0.0,12
2,buy,aborted,2,47711.62735764431,99057.05001071197,0.0,5
3,buy,complited,0,623650.969544802,709150.1476974625,623650.969544802,24
4,buy,complited,1,656647.209922571,944151.7988969351,656647.209922571,42
5,buy,complited,2,238554.07860303303,456767.81514235353,238554.07860303303,15
6,sell,aborted,0,148404.8371212915,156502.33255510882,43080.357176990925,4
7,sell,aborted,1,29736.678075545853,39125.583138777205,10770.089294247731,1
8,sell,aborted,2,19177.86454649852,39125.583138777205,10770.089294247731,1
9,sell,complited,0,500192.1712053026,552647.8151423534,500192.1712053026,20
10,sell,complited,1,653176.420243928,905026.2157581579,653176.420243928,41
11,sell,complited,2,228918.37720065584,417642.23200357636,228918.37720065584,14
